Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_63030Hz,Q_63030Hz,I_69510Hz,Q_69510Hz,I_76590Hz,Q_76590Hz,I_84450Hz,Q_84450Hz,I_93090Hz,Q_93090Hz,EC63030Hz[mS/m],EC69510Hz[mS/m],EC76590Hz[mS/m],EC84450Hz[mS/m],EC93090Hz[mS/m],TotalEC[mS/m],MSusc63030Hz[1/1000],MSusc69510Hz[1/1000],MSusc76590Hz[1/1000],MSusc84450Hz[1/1000],MSusc93090Hz[1/1000]
0,0,0.00,0.00,0,0,37961636.600,103241.6366,106.0,1.39029e+003,6.89389e+003,2.64576e+003,8.93442e+003,4.61637e+003,7.99054e+003,6.10630e+003,9.20804e+003,5.58229e+003,1.68758e+004, 4.16838e+001, 5.25627e+001, 4.66540e+001, 5.19892e+001, 8.59877e+001, 4.16838e+001,-1.36553e+001,-2.58271e+001,-4.46343e+001,-5.86177e+001,-5.37226e+001
0,1,-0.59,0.00,0,0,37961736.600,103241.7366,105.7,4.05045e+003,8.96547e+003,2.83137e+003,9.13110e+003,4.68506e+003,7.92004e+003,6.34356e+003,9.51196e+003,5.75460e+003,1.69097e+004, 6.19489e+001, 5.42017e+001, 4.63994e+001, 5.41983e+001, 8.65264e+001, 6.19489e+001,-3.92700e+001,-2.76139e+001,-4.52834e+001,-6.08260e+001,-5.53350e+001
0,2,-1.18,0.00,0,0,37961836.600,103241.8366,105.1,4.92391e+003,1.22005e+004,2.98012e+003,9.44362e+003,5.06751e+003,7.74424e+003,6.48467e+003,9.57735e+003,6.05644e+003,1.69591e+004, 8.75255e+001, 5.64786e+001, 4.62248e+001, 5.48900e+001, 8.74120e+001, 8.75255e+001,-4.75371e+001,-2.90436e+001,-4.88896e+001,-6.21371e+001,-5.81530e+001
0,3,-1.76,0.00,0,0,37961936.600,103241.9366,103.3,4.21112e+003,1.51888e+004,3.17353e+003,9.31477e+003,5.69848e+003,7.46101e+003,6.77454e+003,9.31213e+003,6.64985e+003,1.68653e+004, 1.07687e+002, 5.61630e+001, 4.59651e+001, 5.41133e+001, 8.80846e+001, 1.07687e+002,-4.07960e+001,-3.08994e+001,-5.48101e+001,-6.48246e+001,-6.36695e+001
0,4,-2.35,0.00,0,0,37962036.600,103242.0366,105.6,2.97300e+003,1.68426e+004,3.63733e+003,9.46820e+003,6.21004e+003,7.53776e+003,7.42572e+003,8.93271e+003,7.57399e+003,1.69080e+004, 1.19638e+002, 5.82787e+001, 4.75751e+001, 5.35423e+001, 9.02419e+001, 1.19638e+002,-2.89752e+001,-3.53355e+001,-5.95839e+001,-7.08350e+001,-7.21983e+001
0,5,-2.94,0.00,0,0,37962136.600,103242.1366,108.2,1.30285e+003,1.72955e+004,4.19456e+003,9.38842e+003,6.97444e+003,7.89156e+003,8.27225e+003,8.82433e+003,8.33681e+003,1.70331e+004, 1.24579e+002, 5.92094e+001, 5.15088e+001, 5.49806e+001, 9.29030e+001, 1.24579e+002,-1.28019e+001,-4.06388e+001,-6.66737e+001,-7.85928e+001,-7.91819e+001
0,6,-3.53,0.00,0,0,37962236.600,103242.2366,109.9,-1.13048e+003,1.64121e+004,4.69152e+003,9.38307e+003,7.36157e+003,8.10327e+003,8.54246e+003,8.89801e+003,8.33675e+003,1.71369e+004, 1.07339e+002, 5.98061e+001, 5.31520e+001, 5.54507e+001, 9.24027e+001, 1.07339e+002, 1.12426e+001,-4.53444e+001,-7.02445e+001,-8.10560e+001,-7.91814e+001
0,7,-4.12,0.00,0,0,37962336.600,103242.3366,110.8,-2.97149e+003,1.44490e+004,5.12187e+003,9.62419e+003,7.45347e+003,8.14850e+003,8.66539e+003,9.23008e+003,8.13793e+003,1.70885e+004, 8.75592e+001, 6.13564e+001, 5.26876e+001, 5.66107e+001, 8.99566e+001, 8.75592e+001, 2.98245e+001,-4.94011e+001,-7.10903e+001,-8.21745e+001,-7.73660e+001
0,8,-4.71,0.00,0,0,37962436.600,103242.4366,110.3,-3.87329e+003,1.20667e+004,5.17713e+003,9.65056e+003,7.15309e+003,8.15480e+003,8.48603e+003,9.43699e+003,7.98265e+003,1.70202e+004, 7.03668e+001, 6.11211e+001, 5.15337e+001, 5.68133e+001, 8.84151e+001, 7.03668e+001, 3.90524e+001,-4.99207e+001,-6.83232e+001,-8.05421e+001,-7.59459e+001
0,9,-5.29,0.00,0,0,37962536.600,103242.5366,111.3,-4.88880e+003,9.10512e+003,3.25043e+003,9.31728e+003,5.60528e+003,8.30046e+003,6.75484e+003,9.30159e+003,6.39129e+003,1.68908e+004, 5.04606e+001, 5.37079e+001, 4.83071e+001, 5.14590e+001, 8.35524e+001, 5.04606e+001, 4.95450e+001,-3.16363e+001,-5.39379e+001,-6.46422e+001,-6.12697e+001
0,10,-5.88,0.00,0,0,37962636.600,103242.6366,112.5,-5.76167e+003,6.33903e+003,-1.92537e+001,9.41184e+003,2.71977e+003,8.14251e+003,3.92518e+003,8.93258e+003,3.65069e+003,1.68772e+004, 3.35828e+001, 4.69089e+001, 4.10834e+001, 4.32701e+001, 7.78565e+001, 3.35828e+001, 5.86504e+001, 1.90426e-001,-2.65400e+001,-3.80786e+001,-3.54630e+001
0,11,-6.47,0.00,0,0,37962736.600,103242.7366,112.9,-5.27877e+003,4.83137e+003,-2.01274e+003,9.59833e+003,3.73473e+002,7.74733e+003,1.64502e+003,8.91259e+003,1.58124e+003,1.68965e+004, 2.50859e+001, 4.81689e+001, 3.50484e+001, 3.91577e+001, 7.50383e+001, 2.50859e+001, 5.36030e+001, 2.01049e+001,-3.68661e+000,-1.61370e+001,-1.55162e+001
0,12,-7.06,0.00,0,0,37962836.600,103242.8366,110.5,-3.80534e+003,4.56291e+003,-3.01237e+003,9.05859e+003,-4.41546e+002,7.45923e+003,7.53676e+002,8.96995e+003,6.37173e+002,1.68447e+004, 2.39440e+001, 4.58979e+001, 3.34083e+001, 3.84383e+001, 7.43015e+001, 2.39440e+001, 3.83542e+001, 3.02410e+001, 4.37618e+000,-7.42573e+000,-6.28146e+000
0,13,-7.65,0.00,0,0,37962936.600,103242.9366,110.6,-3.13270e+003,4.53030e+003,-2.79205e+003,8.91898e+003,-2.94469e+002,7.22607e+003,5.39236e+002,8.85423e+003,5.28477e+002,1.67452e+004, 2.39242e+001, 4.54006e+001, 3.25614e+001, 3.77815e+001, 7.39987e+001, 2.39242e+001, 3.14680e+001, 2.79982e+001, 2.91637e+000,-5.31854e+000,-5.21270e+000
0,14,-8.24,0.00,0,0,37963036.600,103243.0366,113.9,-3.20497e+003,3.98842e+003,-2.94940e+003,9.08773e+003,-1.14984e+002,7.48360e+003,7.63482e+002,8.92269e+003,6.45631e+002,1.67900e+004, 2.08625e+001, 4.63332e+001, 3.39013e+001, 3.84660e+001, 7.43378e+001, 2.08625e+001, 3.22056e+001, 2.95995e+001, 1.13777e+000,-7.52198e+000,-6.36458e+000
0,15,-8.82,0.00,0,0,37963136.600,103243.1366,112.9,-3.16578e+003,3.53769e+003,-3.38029e+003,8.96390e+003,-5.44705e+001,7.83897e+003,9.67606e+002,9.02487e+003,7.25163e+002,1.69459e+004, 1.83641e+001, 4.56705e+001, 3.57989e+001, 3.93082e+001, 7.56410e+001, 1.83641e+001, 3.18055e+001, 3.39973e+001, 5.38825e-001,-9.52347e+000,-7.14580e+000
0,16,-9.41,0.00,0,0,37963236.600,103243.2366,110.2,-3.26960e+003,3.73636e+003,-2.78830e+003,8.84154e+003,2.96956e+001,7.48914e+003,8.61762e+002,9.14936e+003,6.13583e+002,1.69577e+004, 1.94452e+001, 4.49020e+001, 3.39074e+001, 3.96606e+001, 7.55401e+001, 1.94452e+001, 3.28657e+001, 2.79601e+001,-2.93628e-001,-8.48615e+000,-6.04961e+000
0,17,-10.00,0.00,0,0,37963336.600,103243.3366,109.3,-3.35689e+003,4.00237e+003,-2.43570e+003,8.73162e+003,-2.52469e+002,7.20397e+003,8.24309e+002,9.08720e+003,5.39658e+002,1.68032e+004, 2.09084e+001, 4.42280e+001, 3.24019e+001, 3.92732e+001, 7.42735e+001, 2.09084e+001, 3.37580e+001, 2.43812e+001, 2.49989e+000,-8.11883e+000,-5.32269e+000
0,18,-10.59,0.00,0,0,37963436.600,103243.4366,108.7,-3.75112e+003,3.87269e+003,-2.31968e+003,9.29379e+003,-5.71944e+002,7.49269e+003,9.14490e+002,8.97142e+003,5.42786e+002,1.66782e+004, 2.01056e+001, 4.72057e+001, 3.35407e+001, 3.87431e+001, 7.30500e+001, 2.01056e+001, 3.77974e+001, 2.32064e+001, 5.67222e+000,-9.00304e+000,-5.35346e+000
0,19,-11.18,0.00,0,0,37963536.600,103243.5366,115.4,-4.21769e+003,3.90473e+003,-2.72088e+003,9.47773e+003,-4.02697e+002,7.66753e+003,6.48230e+002,8.79464e+003,4.07113e+002,1.67078e+004, 2.01883e+001, 4.80584e+001, 3.42940e+001, 3.73026e+001, 7.29614e+001, 2.01883e+001, 4.25988e+001, 2.72748e+001, 3.99038e+000,-6.39012e+000,-4.01801e+000
0,20,-11.76,0.00,0,0,37963636.600,103243.6366,114.3,-4.56190e+003,3.92137e+003,-2.80107e+003,8.96495e+003,-4.13039e+002,7.77007e+003,5.45433e+002,8.86938e+003,4.09866e+002,1.68126e+004, 2.02103e+001, 4.50201e+001, 3.46670e+001, 3.73309e+001, 7.34923e+001, 2.02103e+001, 4.61556e+001, 2.80899e+001, 4.09307e+000,-5.37949e+000,-4.04513e+000
0,21,-12.35,0.00,0,0,37963736.600,103243.7366,112.3,-4.43600e+003,3.88717e+003,-2.37587e+003,8.95039e+003,-4.96204e+002,7.48924e+003,8.08163e+002,8.87286e+003,5.25825e+002,1.67961e+004, 2.00474e+001, 4.49708e+001, 3.33234e+001, 3.78491e+001, 7.34297e+001, 2.00474e+001, 4.48532e+001, 2.37752e+001, 4.91923e+000,-7.96043e+000,-5.18661e+000
0,22,-12.94,0.00,0,0,37963836.600,103243.8366,113.4,-4.41623e+003,3.80221e+003,-2.07572e+003,9.05457e+003,-5.39222e+002,7.22647e+003,7.62479e+002,8.61203e+003,5.28878e+002,1.67881e+004, 1.95840e+001, 4.55410e+001, 3.20590e+001, 3.65744e+001, 7.33847e+001, 1.95840e+001, 4.46488e+001, 2.07405e+001, 5.34684e+000,-7.51213e+000,-5.21664e+000
0,23,-13.53,0.00,0,0,37963936.600,103243.9366,116.3,-4.70966e+003,3.69690e+003,-2.81006e+003,9.03089e+003,-8.95277e+002,7.10736e+003,4.05568e+002,8.52658e+003,1.69058e+002,1.67923e+004, 1.89501e+001, 4.53227e+001, 3.13392e+001, 3.54932e+001, 7.27549e+001, 1.89501e+001, 4.76862e+001, 2.81814e+001, 8.89312e+000,-4.00280e+000,-1.67049e+000
0,24,-14.12,0.00,0,0,37964036.600,103244.0366,120.0,-5.13632e+003,3.35814e+003,-3.92019e+003,8.65959e+003,-1.89528e+003,7.06597e+003,-1.82726e+002,8.72337e+003,-7.12904e+002,1.66812e+004, 1.70334e+001, 4.31924e+001, 3.12574e+001, 3.56239e+001, 6.99571e+001, 1.70334e+001, 5.21188e+001, 3.95347e+001, 1.89205e+001, 1.80868e+000, 7.07513e+000
0,25,-14.71,0.00,0,0,37964136.600,103244.1366,117.3,-5.82754e+003,3.03962e+003,-5.04484e+003,8.31286e+003,-2.54791e+003,7.24437e+003,-1.16904e+003,9.01569e+003,-1.57154e+003,1.65062e+004, 1.52118e+001, 4.10502e+001, 3.19221e+001, 3.67366e+001, 7.02705e+001, 1.52118e+001, 5.93408e+001, 5.11668e+001, 2.55188e+001, 1.16283e+001, 1.56633e+001
0,26,-15.29,0.00,0,0,37964236.600,103244.2366,117.6,-6.31245e+003,3.19771e+003,-4.95695e+003,8.90983e+003,-2.27410e+003,7.40300e+003,-1.25748e+003,9.16302e+003,-1.78031e+003,1.69084e+004, 1.59813e+001, 4.40299e+001, 3.25234e+001, 3.72249e+001, 7.29657e+001, 1.59813e+001, 6.44376e+001, 5.02530e+001, 2.27452e+001, 1.25135e+001, 1.77626e+001
0,27,-15.88,0.00,0,0,37964336.600,103244.3366,115.0,-5.30149e+003,3.33527e+003,-3.42723e+003,9.47750e+003,-1.15122e+003,7.75163e+003,-3.50059e+001,9.65669e+003,-5.06843e+002,1.78669e+004, 1.68821e+001, 4.75980e+001, 3.44987e+001, 3.99505e+001, 8.32754e+001, 1.68821e+001, 5.38399e+001, 3.44775e+001, 1.14500e+001, 3.46247e-001, 5.02496e+000
0,28,-16.47,0.00,0,0,37964436.600,103244.4366,117.4,-3.36981e+003,3.58544e+003,-1.73491e+003,9.99050e+003,1.44711e+002,8.32913e+003,1.58890e+003,1.04962e+004,1.35308e+003,1.88189e+004, 1.85901e+001, 5.12926e+001, 3.82182e+001, 4.73048e+001, 9.31439e+001, 1.85901e+001, 3.38901e+001, 1.73057e+001,-1.43008e+000,-1.55908e+001,-1.32922e+001
0,29,-17.06,0.00,0,0,37964536.600,103244.5366,116.7,-1.94027e+003,3.93002e+003,-4.58529e+002,1.07811e+004,1.56490e+003,9.17606e+003,3.17396e+003,1.13329e+004,2.87279e+003,1.96000e+004, 2.08009e+001, 5.59024e+001, 4.58532e+001, 5.54704e+001, 1.00675e+002, 2.08009e+001, 1.93740e+001, 4.54488e+000,-1.53571e+001,-3.09035e+001,-2.80122e+001
0,30,-17.65,0.00,0,0,37964636.600,103244.6366,114.7,-4.47740e+002,4.31338e+003,7.51627e+002,1.12906e+004,2.84798e+003,1.00312e+004,4.44518e+003,1.21187e+004,4.00388e+003,2.00845e+004, 2.33311e+001, 6.17932e+001, 5.39955e+001, 6.34046e+001, 1.05831e+002, 2.33311e+001, 4.43770e+000,-7.40561e+000,-2.77737e+001,-4.30147e+001,-3.88273e+001
0,31,-18.24,0.00,0,0,37964736.600,103244.7366,113.8,1.40254e+003,4.90212e+003,1.84123e+003,1.17040e+004,4.01417e+003,1.04766e+004,5.35356e+003,1.26487e+004,5.15590e+003,2.07006e+004, 2.92356e+001, 6.73619e+001, 5.95537e+001, 6.83418e+001, 1.10854e+002, 2.92356e+001,-1.37747e+001,-1.80444e+001,-3.89251e+001,-5.15781e+001,-4.97211e+001
0,32,-18.82,0.00,0,0,37964836.600,103244.8366,112.6,2.59088e+003,5.29045e+003,2.48813e+003,1.22449e+004,5.44888e+003,1.08609e+004,6.46503e+003,1.29948e+004,6.28428e+003,2.14531e+004, 3.38696e+001, 7.10046e+001, 6.55001e+001, 7.35300e+001, 1.16253e+002, 3.38696e+001,-2.52981e+001,-2.43070e+001,-5.24724e+001,-6.19547e+001,-6.02748e+001
